data;
set PLANES := iv nq vu tp pu je wp pb qz sh gr qr nz fe ek ml dt wx rt zm vd xl dd bd ot nn bk yl sz ec ku jy ft qy qk af qo tc am gm lz cn od ky fx yn ys pr fi bb ds rk ni lj jc co uy ow td zt qq dc ur vr mx wc hj le za vw uu eo qg rq hi du oq kf kr ki yk mb ao wm zr jk us ry sk ru pv ns yy sy hp zh ln zp vv uz wq gd fm cg hm zc ew by kc hh yw sx fh im yq jx hc of eu kq iq kx ks dw gy tw vk wi xa ql pi jh ux li ir is bm lh qp xe ar hn qt oc pe yf wl zo nu ic xp nv qw yi fc qm bv ei se bz lo jt gn ji fu ag bi uo my tq cr kn fl wn tt bn rf mq oy bq aw nr ae qc lp th gg sw na di mg xk hf pw km ci wu as mn sc jg hv ix fd gh az xq mc lw qv hk ac ps fz ef yr rm zz py be wr vz ii tj xn xo lx eg mp zy bs nb og fs ri ey xg nh yp bu wf bh ff yu zd in ok kw xh dv pc cu ht fa lu rn sl xw rw jb aj nt pz ub gi we hl cp ge rr ik ha ms vp vm sf yj fn tr ev pd up fp aq pn kz si jj dz ob zl pp yd eh tg cc ay mk nx ox ax ep ya ue ud rl qj ee ta mz ho et xb io yo iy cx nc ej fb yh rj ly un xi ne tl mu ua um sn tm em ug nm pl rv me ph ez oj ty su dq gk hy vs sj bw jd ng ld ll yt lv gv qh de rs uc wt dk om gz wy qs xm yc wa op dh uk kp js qa iz ce zq xc xv ui fk gs zk tv vn lk mt ka ra np iu bt sg dm ia vi gx dl gf cq jn qn ls lm pt pq tx vb hb nd sr zb fv aa hq db jq rh gt vj if qe sb gl px bg tu xt kl gq hr zv hs lb kv vy fq qd hd jm sd vh oz bx tf mw xf dx vo rz nw xy gu av mv qi he st uq ov oh ko ie wh hu lq cv mh at lt nj jp vf vg do xj mo ro zg ju kb ul nf lr vq cy ih df zx qb ex ma ss nl kg ca cj ww oo;

param: E T L g h :=
iv 601 709 2401 1.70 1.90
nq 1020 1298 2820 1.19 1.27
vu 1029 1574 2829 1.13 1.88
tp 1093 1504 2893 1.86 1.14
pu 1304 1400 3104 1.57 1.93
je 1334 1414 3134 1.29 1.34
wp 1631 1836 3431 1.19 1.34
pb 1725 2316 3525 1.70 1.26
qz 1848 2385 3648 1.95 1.08
sh 1889 2133 3689 1.21 1.67
gr 2190 2368 3990 1.42 1.06
qr 2345 2651 4145 1.45 1.82
nz 2406 2947 4206 1.98 1.78
fe 2434 2571 4234 1.36 1.50
ek 2466 3064 4266 1.06 1.89
ml 2541 2946 4341 1.81 1.72
dt 2631 2931 4431 1.36 1.88
wx 2637 3075 4437 1.03 1.84
rt 2850 3174 4650 1.21 1.47
zm 3004 3201 4804 1.81 1.85
vd 3162 3323 4962 1.61 1.40
xl 3187 3680 4987 1.83 1.03
dd 3218 3752 5018 1.74 1.96
bd 3360 3683 5160 1.44 1.98
ot 3424 3675 5224 1.91 1.28
nn 3515 3847 5315 1.66 1.02
bk 3698 4113 5498 1.09 1.84
yl 3717 4027 5517 1.57 1.54
sz 3829 4310 5629 1.29 1.79
ec 4012 4254 5812 1.07 1.93
ku 4096 4231 5896 1.52 1.71
jy 4393 4662 6193 1.59 1.70
ft 4511 4964 6311 1.72 1.41
qy 4675 4761 6475 1.90 1.57
qk 4942 5283 6742 1.38 1.62
af 5153 5419 6953 1.64 1.29
qo 5170 5714 6970 1.35 1.22
tc 5178 5363 6978 1.53 1.77
am 5191 5618 6991 1.16 1.84
gm 5351 5688 7151 1.87 1.85
lz 5522 5658 7322 1.05 1.63
cn 5642 5967 7442 1.64 1.07
od 5700 5943 7500 1.39 1.02
ky 5701 6210 7501 1.70 1.35
fx 5804 6143 7604 1.69 1.32
yn 5849 6157 7649 1.21 1.31
ys 5877 6212 7677 1.13 1.23
pr 6000 6109 7800 1.91 1.07
