data;
set PLANES := kx yp rq cu dh ox gz yr rl ct nc gn jn ki ff;

param: E T L g h :=
kx 129 155 559 10.00 10.00
yp 190 250 732 10.00 10.00
rq 84 93 501 30.00 30.00
cu 89 98 509 30.00 30.00
dh 100 111 536 30.00 30.00
ox 107 120 552 30.00 30.00
gz 109 121 550 30.00 30.00
yr 109 120 544 30.00 30.00
rl 115 128 557 30.00 30.00
ct 134 151 610 30.00 30.00
nc 266 341 837 10.00 10.00
gn 251 313 778 10.00 10.00
jn 160 181 674 30.00 30.00
ki 152 171 637 30.00 30.00
ff 276 342 815 10.00 10.00;

param S:  kx yp rq cu dh ox gz yr rl ct nc gn jn ki ff :=
kx 99999 3 15 15 15 15 15 15 15 15 3 3 15 15 3
yp 3 99999 15 15 15 15 15 15 15 15 3 3 15 15 3
rq 15 15 99999 8 8 8 8 8 8 8 15 15 8 8 15
cu 15 15 8 99999 8 8 8 8 8 8 15 15 8 8 15
dh 15 15 8 8 99999 8 8 8 8 8 15 15 8 8 15
ox 15 15 8 8 8 99999 8 8 8 8 15 15 8 8 15
gz 15 15 8 8 8 8 99999 8 8 8 15 15 8 8 15
yr 15 15 8 8 8 8 8 99999 8 8 15 15 8 8 15
rl 15 15 8 8 8 8 8 8 99999 8 15 15 8 8 15
ct 15 15 8 8 8 8 8 8 8 99999 15 15 8 8 15
nc 3 3 15 15 15 15 15 15 15 15 99999 3 15 15 3
gn 3 3 15 15 15 15 15 15 15 15 3 99999 15 15 3
jn 15 15 8 8 8 8 8 8 8 8 15 15 99999 8 15
ki 15 15 8 8 8 8 8 8 8 8 15 15 8 99999 15
ff 3 3 15 15 15 15 15 15 15 15 3 3 15 15 99999;


end;
