data;
set PLANES := cx ff jy yc gn zv rf ug lo bd to jl qn jm wo tj ow ub ue la;

param: E T L g h :=
cx 129 155 559 10.00 10.00
ff 187 246 726 10.00 10.00
jy 82 90 497 30.00 30.00
yc 85 94 502 30.00 30.00
gn 95 105 527 30.00 30.00
zv 100 112 540 30.00 30.00
rf 101 112 536 30.00 30.00
ug 100 111 529 30.00 30.00
lo 105 117 540 30.00 30.00
bd 122 137 587 30.00 30.00
to 240 307 789 10.00 10.00
jl 224 280 734 10.00 10.00
qn 142 161 639 30.00 30.00
jm 135 151 604 30.00 30.00
wo 242 301 760 10.00 10.00
tj 300 393 931 10.00 10.00
ow 142 159 612 30.00 30.00
ub 145 162 616 30.00 30.00
ue 138 153 590 30.00 30.00
la 162 182 658 30.00 30.00
;
param S:  cx ff jy yc gn zv rf ug lo bd to jl qn jm wo tj ow ub ue la :=
cx 99999 3 15 15 15 15 15 15 15 15 3 3 15 15 3 3 15 15 15 15
ff 3 99999 15 15 15 15 15 15 15 15 3 3 15 15 3 3 15 15 15 15
jy 15 15 99999 8 8 8 8 8 8 8 15 15 8 8 15 15 8 8 8 8
yc 15 15 8 99999 8 8 8 8 8 8 15 15 8 8 15 15 8 8 8 8
gn 15 15 8 8 99999 8 8 8 8 8 15 15 8 8 15 15 8 8 8 8
zv 15 15 8 8 8 99999 8 8 8 8 15 15 8 8 15 15 8 8 8 8
rf 15 15 8 8 8 8 99999 8 8 8 15 15 8 8 15 15 8 8 8 8
ug 15 15 8 8 8 8 8 99999 8 8 15 15 8 8 15 15 8 8 8 8
lo 15 15 8 8 8 8 8 8 99999 8 15 15 8 8 15 15 8 8 8 8
bd 15 15 8 8 8 8 8 8 8 99999 15 15 8 8 15 15 8 8 8 8
to 3 3 15 15 15 15 15 15 15 15 99999 3 15 15 3 3 15 15 15 15
jl 3 3 15 15 15 15 15 15 15 15 3 99999 15 15 3 3 15 15 15 15
qn 15 15 8 8 8 8 8 8 8 8 15 15 99999 8 15 15 8 8 8 8
jm 15 15 8 8 8 8 8 8 8 8 15 15 8 99999 15 15 8 8 8 8
wo 3 3 15 15 15 15 15 15 15 15 3 3 15 15 99999 3 15 15 15 15
tj 3 3 15 15 15 15 15 15 15 15 3 3 15 15 3 99999 15 15 15 15
ow 15 15 8 8 8 8 8 8 8 8 15 15 8 8 15 15 99999 8 8 8
ub 15 15 8 8 8 8 8 8 8 8 15 15 8 8 15 15 8 99999 8 8
ue 15 15 8 8 8 8 8 8 8 8 15 15 8 8 15 15 8 8 99999 8
la 15 15 8 8 8 8 8 8 8 8 15 15 8 8 15 15 8 8 8 99999
;


end;
