data;
set PLANES := ol wt yr bk zn gp ac df dv zo fk gm cz rv os iw ok za qn yp na js dp ov pz hx mw wn lo ow;

param: E T L g h :=
ol 0 0 0 4.00 4.00
wt 79 79 96 4.00 4.00
yr 144 144 192 4.00 4.00
bk 204 204 392 3.00 3.00
zn 264 264 464 4.00 4.00
gp 320 320 560 4.00 4.00
ac 528 528 760 3.00 3.00
df 635 635 832 4.00 4.00
dv 730 730 1032 3.00 3.00
zo 766 766 1112 3.00 3.00
fk 790 790 1184 4.00 4.00
gm 920 920 1280 4.00 4.00
cz 1046 1046 1461 2.00 2.00
rv 1106 1106 1591 1.00 1.00
os 1136 1136 1671 3.00 3.00
iw 1166 1166 1751 3.00 3.00
ok 1233 1233 1831 3.00 3.00
za 1642 1642 1903 4.00 4.00
qn 1715 1715 1999 4.00 4.00
yp 1770 1770 2180 2.00 2.00
na 2074 2074 2252 4.00 4.00
js 2168 2168 2348 4.00 4.00
dp 2259 2259 2576 1.00 1.00
ov 2427 2427 2656 3.00 3.00
pz 2481 2481 2728 4.00 4.00
hx 2679 2679 2928 3.00 3.00
mw 2883 2883 2998 2.00 2.00
wn 2982 2982 3098 3.00 3.00
lo 3046 3046 3170 4.00 4.00
ow 3091 3091 3266 4.00 4.00
;
param S:  ol wt yr bk zn gp ac df dv zo fk gm cz rv os iw ok za qn yp na js dp ov pz hx mw wn lo ow :=
ol 99999 96 96 200 96 96 200 96 200 200 96 96 181 228 200 200 200 96 96 181 96 96 228 200 96 200 181 200 96 96
wt 96 99999 96 200 96 96 200 96 200 200 96 96 181 228 200 200 200 96 96 181 96 96 228 200 96 200 181 200 96 96
yr 96 96 99999 200 96 96 200 96 200 200 96 96 181 228 200 200 200 96 96 181 96 96 228 200 96 200 181 200 96 96
bk 72 72 72 99999 72 72 80 72 80 80 72 72 70 110 80 80 80 72 72 70 72 72 110 80 72 80 70 80 72 72
zn 96 96 96 200 99999 96 200 96 200 200 96 96 181 228 200 200 200 96 96 181 96 96 228 200 96 200 181 200 96 96
gp 96 96 96 200 96 99999 200 96 200 200 96 96 181 228 200 200 200 96 96 181 96 96 228 200 96 200 181 200 96 96
ac 72 72 72 80 72 72 99999 72 80 80 72 72 70 110 80 80 80 72 72 70 72 72 110 80 72 80 70 80 72 72
df 96 96 96 200 96 96 200 99999 200 200 96 96 181 228 200 200 200 96 96 181 96 96 228 200 96 200 181 200 96 96
dv 72 72 72 80 72 72 80 72 99999 80 72 72 70 110 80 80 80 72 72 70 72 72 110 80 72 80 70 80 72 72
zo 72 72 72 80 72 72 80 72 80 99999 72 72 70 110 80 80 80 72 72 70 72 72 110 80 72 80 70 80 72 72
fk 96 96 96 200 96 96 200 96 200 200 99999 96 181 228 200 200 200 96 96 181 96 96 228 200 96 200 181 200 96 96
gm 96 96 96 200 96 96 200 96 200 200 96 99999 181 228 200 200 200 96 96 181 96 96 228 200 96 200 181 200 96 96
cz 72 72 72 100 72 72 100 72 100 100 72 72 99999 130 100 100 100 72 72 70 72 72 130 100 72 100 70 100 72 72
rv 72 72 72 80 72 72 80 72 80 80 72 72 70 99999 80 80 80 72 72 70 72 72 90 80 72 80 70 80 72 72
os 72 72 72 80 72 72 80 72 80 80 72 72 70 110 99999 80 80 72 72 70 72 72 110 80 72 80 70 80 72 72
iw 72 72 72 80 72 72 80 72 80 80 72 72 70 110 80 99999 80 72 72 70 72 72 110 80 72 80 70 80 72 72
ok 72 72 72 80 72 72 80 72 80 80 72 72 70 110 80 80 99999 72 72 70 72 72 110 80 72 80 70 80 72 72
za 96 96 96 200 96 96 200 96 200 200 96 96 181 228 200 200 200 99999 96 181 96 96 228 200 96 200 181 200 96 96
qn 96 96 96 200 96 96 200 96 200 200 96 96 181 228 200 200 200 96 99999 181 96 96 228 200 96 200 181 200 96 96
yp 72 72 72 100 72 72 100 72 100 100 72 72 70 130 100 100 100 72 72 99999 72 72 130 100 72 100 70 100 72 72
na 96 96 96 200 96 96 200 96 200 200 96 96 181 228 200 200 200 96 96 181 99999 96 228 200 96 200 181 200 96 96
js 96 96 96 200 96 96 200 96 200 200 96 96 181 228 200 200 200 96 96 181 96 99999 228 200 96 200 181 200 96 96
dp 72 72 72 80 72 72 80 72 80 80 72 72 70 90 80 80 80 72 72 70 72 72 99999 80 72 80 70 80 72 72
ov 72 72 72 80 72 72 80 72 80 80 72 72 70 110 80 80 80 72 72 70 72 72 110 99999 72 80 70 80 72 72
pz 96 96 96 200 96 96 200 96 200 200 96 96 181 228 200 200 200 96 96 181 96 96 228 200 99999 200 181 200 96 96
hx 72 72 72 80 72 72 80 72 80 80 72 72 70 110 80 80 80 72 72 70 72 72 110 80 72 99999 70 80 72 72
mw 72 72 72 100 72 72 100 72 100 100 72 72 70 130 100 100 100 72 72 70 72 72 130 100 72 100 99999 100 72 72
wn 72 72 72 80 72 72 80 72 80 80 72 72 70 110 80 80 80 72 72 70 72 72 110 80 72 80 70 99999 72 72
lo 96 96 96 200 96 96 200 96 200 200 96 96 181 228 200 200 200 96 96 181 96 96 228 200 96 200 181 200 99999 96
ow 96 96 96 200 96 96 200 96 200 200 96 96 181 228 200 200 200 96 96 181 96 96 228 200 96 200 181 200 96 99999
;


end;
