data;
set PLANES := lq es ej uv wi fr eg et bu sy bd gj hx uj gz xm yq ib aa yr hf vy mt oy sm bj ia iv sn qp af ih qw xa jn jp cz if pd ct kz np vv wm;

param: E T L g h :=
lq 0 0 0 2.00 2.00
es 79 137 196 2.00 2.00
ej 146 271 396 1.00 1.00
uv 226 351 476 1.00 1.00
wi 306 431 556 1.00 1.00
fr 378 503 628 2.00 2.00
eg 528 626 724 2.00 2.00
et 635 727 820 2.00 2.00
bu 770 895 1020 1.00 1.00
sy 842 967 1092 2.00 2.00
bd 1042 1167 1292 1.00 1.00
gj 1114 1239 1364 2.00 2.00
hx 1314 1439 1564 1.00 1.00
uj 1394 1519 1644 1.00 1.00
gz 1466 1591 1716 2.00 2.00
xm 1666 1791 1916 1.00 1.00
yq 1746 1871 1996 1.00 1.00
ib 1818 1943 2068 2.00 2.00
aa 2018 2143 2268 1.00 1.00
yr 2098 2223 2348 1.00 1.00
hf 2170 2295 2420 2.00 2.00
vy 2266 2391 2516 2.00 2.00
mt 2466 2591 2716 1.00 1.00
oy 2538 2663 2788 2.00 2.00
sm 2738 2863 2988 1.00 1.00
bj 2818 2943 3068 1.00 1.00
ia 2898 3023 3148 1.00 1.00
iv 2978 3103 3228 1.00 1.00
sn 3050 3175 3300 2.00 2.00
qp 3146 3271 3396 2.00 2.00
af 3346 3471 3596 1.00 1.00
ih 3418 3543 3668 2.00 2.00
qw 3618 3743 3868 1.00 1.00
xa 3690 3815 3940 2.00 2.00
jn 3786 3911 4036 2.00 2.00
jp 3986 4111 4236 1.00 1.00
cz 4066 4191 4316 1.00 1.00
if 4146 4271 4396 1.00 1.00
pd 4218 4343 4468 2.00 2.00
ct 4314 4439 4564 2.00 2.00
kz 4410 4535 4660 2.00 2.00
np 4506 4631 4756 2.00 2.00
vv 4602 4727 4852 2.00 2.00
wm 4802 4927 5052 1.00 1.00
;
param S:  lq es ej uv wi fr eg et bu sy bd gj hx uj gz xm yq ib aa yr hf vy mt oy sm bj ia iv sn qp af ih qw xa jn jp cz if pd ct kz np vv wm :=
lq 99999 96 200 200 200 96 96 96 200 96 200 96 200 200 96 200 200 96 200 200 96 96 200 96 200 200 200 200 96 96 200 96 200 96 96 200 200 200 96 96 96 96 96 200
es 96 99999 200 200 200 96 96 96 200 96 200 96 200 200 96 200 200 96 200 200 96 96 200 96 200 200 200 200 96 96 200 96 200 96 96 200 200 200 96 96 96 96 96 200
ej 72 72 99999 80 80 72 72 72 80 72 80 72 80 80 72 80 80 72 80 80 72 72 80 72 80 80 80 80 72 72 80 72 80 72 72 80 80 80 72 72 72 72 72 80
uv 72 72 80 99999 80 72 72 72 80 72 80 72 80 80 72 80 80 72 80 80 72 72 80 72 80 80 80 80 72 72 80 72 80 72 72 80 80 80 72 72 72 72 72 80
wi 72 72 80 80 99999 72 72 72 80 72 80 72 80 80 72 80 80 72 80 80 72 72 80 72 80 80 80 80 72 72 80 72 80 72 72 80 80 80 72 72 72 72 72 80
fr 96 96 200 200 200 99999 96 96 200 96 200 96 200 200 96 200 200 96 200 200 96 96 200 96 200 200 200 200 96 96 200 96 200 96 96 200 200 200 96 96 96 96 96 200
eg 96 96 200 200 200 96 99999 96 200 96 200 96 200 200 96 200 200 96 200 200 96 96 200 96 200 200 200 200 96 96 200 96 200 96 96 200 200 200 96 96 96 96 96 200
et 96 96 200 200 200 96 96 99999 200 96 200 96 200 200 96 200 200 96 200 200 96 96 200 96 200 200 200 200 96 96 200 96 200 96 96 200 200 200 96 96 96 96 96 200
bu 72 72 80 80 80 72 72 72 99999 72 80 72 80 80 72 80 80 72 80 80 72 72 80 72 80 80 80 80 72 72 80 72 80 72 72 80 80 80 72 72 72 72 72 80
sy 96 96 200 200 200 96 96 96 200 99999 200 96 200 200 96 200 200 96 200 200 96 96 200 96 200 200 200 200 96 96 200 96 200 96 96 200 200 200 96 96 96 96 96 200
bd 72 72 80 80 80 72 72 72 80 72 99999 72 80 80 72 80 80 72 80 80 72 72 80 72 80 80 80 80 72 72 80 72 80 72 72 80 80 80 72 72 72 72 72 80
gj 96 96 200 200 200 96 96 96 200 96 200 99999 200 200 96 200 200 96 200 200 96 96 200 96 200 200 200 200 96 96 200 96 200 96 96 200 200 200 96 96 96 96 96 200
hx 72 72 80 80 80 72 72 72 80 72 80 72 99999 80 72 80 80 72 80 80 72 72 80 72 80 80 80 80 72 72 80 72 80 72 72 80 80 80 72 72 72 72 72 80
uj 72 72 80 80 80 72 72 72 80 72 80 72 80 99999 72 80 80 72 80 80 72 72 80 72 80 80 80 80 72 72 80 72 80 72 72 80 80 80 72 72 72 72 72 80
gz 96 96 200 200 200 96 96 96 200 96 200 96 200 200 99999 200 200 96 200 200 96 96 200 96 200 200 200 200 96 96 200 96 200 96 96 200 200 200 96 96 96 96 96 200
xm 72 72 80 80 80 72 72 72 80 72 80 72 80 80 72 99999 80 72 80 80 72 72 80 72 80 80 80 80 72 72 80 72 80 72 72 80 80 80 72 72 72 72 72 80
yq 72 72 80 80 80 72 72 72 80 72 80 72 80 80 72 80 99999 72 80 80 72 72 80 72 80 80 80 80 72 72 80 72 80 72 72 80 80 80 72 72 72 72 72 80
ib 96 96 200 200 200 96 96 96 200 96 200 96 200 200 96 200 200 99999 200 200 96 96 200 96 200 200 200 200 96 96 200 96 200 96 96 200 200 200 96 96 96 96 96 200
aa 72 72 80 80 80 72 72 72 80 72 80 72 80 80 72 80 80 72 99999 80 72 72 80 72 80 80 80 80 72 72 80 72 80 72 72 80 80 80 72 72 72 72 72 80
yr 72 72 80 80 80 72 72 72 80 72 80 72 80 80 72 80 80 72 80 99999 72 72 80 72 80 80 80 80 72 72 80 72 80 72 72 80 80 80 72 72 72 72 72 80
hf 96 96 200 200 200 96 96 96 200 96 200 96 200 200 96 200 200 96 200 200 99999 96 200 96 200 200 200 200 96 96 200 96 200 96 96 200 200 200 96 96 96 96 96 200
vy 96 96 200 200 200 96 96 96 200 96 200 96 200 200 96 200 200 96 200 200 96 99999 200 96 200 200 200 200 96 96 200 96 200 96 96 200 200 200 96 96 96 96 96 200
mt 72 72 80 80 80 72 72 72 80 72 80 72 80 80 72 80 80 72 80 80 72 72 99999 72 80 80 80 80 72 72 80 72 80 72 72 80 80 80 72 72 72 72 72 80
oy 96 96 200 200 200 96 96 96 200 96 200 96 200 200 96 200 200 96 200 200 96 96 200 99999 200 200 200 200 96 96 200 96 200 96 96 200 200 200 96 96 96 96 96 200
sm 72 72 80 80 80 72 72 72 80 72 80 72 80 80 72 80 80 72 80 80 72 72 80 72 99999 80 80 80 72 72 80 72 80 72 72 80 80 80 72 72 72 72 72 80
bj 72 72 80 80 80 72 72 72 80 72 80 72 80 80 72 80 80 72 80 80 72 72 80 72 80 99999 80 80 72 72 80 72 80 72 72 80 80 80 72 72 72 72 72 80
ia 72 72 80 80 80 72 72 72 80 72 80 72 80 80 72 80 80 72 80 80 72 72 80 72 80 80 99999 80 72 72 80 72 80 72 72 80 80 80 72 72 72 72 72 80
iv 72 72 80 80 80 72 72 72 80 72 80 72 80 80 72 80 80 72 80 80 72 72 80 72 80 80 80 99999 72 72 80 72 80 72 72 80 80 80 72 72 72 72 72 80
sn 96 96 200 200 200 96 96 96 200 96 200 96 200 200 96 200 200 96 200 200 96 96 200 96 200 200 200 200 99999 96 200 96 200 96 96 200 200 200 96 96 96 96 96 200
qp 96 96 200 200 200 96 96 96 200 96 200 96 200 200 96 200 200 96 200 200 96 96 200 96 200 200 200 200 96 99999 200 96 200 96 96 200 200 200 96 96 96 96 96 200
af 72 72 80 80 80 72 72 72 80 72 80 72 80 80 72 80 80 72 80 80 72 72 80 72 80 80 80 80 72 72 99999 72 80 72 72 80 80 80 72 72 72 72 72 80
ih 96 96 200 200 200 96 96 96 200 96 200 96 200 200 96 200 200 96 200 200 96 96 200 96 200 200 200 200 96 96 200 99999 200 96 96 200 200 200 96 96 96 96 96 200
qw 72 72 80 80 80 72 72 72 80 72 80 72 80 80 72 80 80 72 80 80 72 72 80 72 80 80 80 80 72 72 80 72 99999 72 72 80 80 80 72 72 72 72 72 80
xa 96 96 200 200 200 96 96 96 200 96 200 96 200 200 96 200 200 96 200 200 96 96 200 96 200 200 200 200 96 96 200 96 200 99999 96 200 200 200 96 96 96 96 96 200
jn 96 96 200 200 200 96 96 96 200 96 200 96 200 200 96 200 200 96 200 200 96 96 200 96 200 200 200 200 96 96 200 96 200 96 99999 200 200 200 96 96 96 96 96 200
jp 72 72 80 80 80 72 72 72 80 72 80 72 80 80 72 80 80 72 80 80 72 72 80 72 80 80 80 80 72 72 80 72 80 72 72 99999 80 80 72 72 72 72 72 80
cz 72 72 80 80 80 72 72 72 80 72 80 72 80 80 72 80 80 72 80 80 72 72 80 72 80 80 80 80 72 72 80 72 80 72 72 80 99999 80 72 72 72 72 72 80
if 72 72 80 80 80 72 72 72 80 72 80 72 80 80 72 80 80 72 80 80 72 72 80 72 80 80 80 80 72 72 80 72 80 72 72 80 80 99999 72 72 72 72 72 80
pd 96 96 200 200 200 96 96 96 200 96 200 96 200 200 96 200 200 96 200 200 96 96 200 96 200 200 200 200 96 96 200 96 200 96 96 200 200 200 99999 96 96 96 96 200
ct 96 96 200 200 200 96 96 96 200 96 200 96 200 200 96 200 200 96 200 200 96 96 200 96 200 200 200 200 96 96 200 96 200 96 96 200 200 200 96 99999 96 96 96 200
kz 96 96 200 200 200 96 96 96 200 96 200 96 200 200 96 200 200 96 200 200 96 96 200 96 200 200 200 200 96 96 200 96 200 96 96 200 200 200 96 96 99999 96 96 200
np 96 96 200 200 200 96 96 96 200 96 200 96 200 200 96 200 200 96 200 200 96 96 200 96 200 200 200 200 96 96 200 96 200 96 96 200 200 200 96 96 96 99999 96 200
vv 96 96 200 200 200 96 96 96 200 96 200 96 200 200 96 200 200 96 200 200 96 96 200 96 200 200 200 200 96 96 200 96 200 96 96 200 200 200 96 96 96 96 99999 200
wm 72 72 80 80 80 72 72 72 80 72 80 72 80 80 72 80 80 72 80 80 72 72 80 72 80 80 80 80 72 72 80 72 80 72 72 80 80 80 72 72 72 72 72 99999
;


end;
