data;
set PLANES := hd yg si kk kx yl mo pv qz eg qm gb xh pf fk bk dv oa go cq ba oh if ql kr ek xl ml en sj kd fm ia gh ke tz pl an ju es re dx xi ze fo ow au gs hj gn;

param: E T L g h :=
hd 75 82 486 30.00 30.00
yg 157 197 628 10.00 10.00
si 134 160 561 10.00 10.00
kk 103 117 565 30.00 30.00
kx 201 261 735 10.00 10.00
yl 95 106 524 30.00 30.00
mo 185 229 664 10.00 10.00
pv 98 108 523 30.00 30.00
qz 117 132 578 30.00 30.00
eg 117 130 569 30.00 30.00
qm 132 149 615 30.00 30.00
gb 114 126 551 30.00 30.00
xh 261 336 834 10.00 10.00
pf 250 316 790 10.00 10.00
fk 214 258 688 10.00 10.00
bk 310 409 967 10.00 10.00
dv 269 338 818 10.00 10.00
oa 237 287 726 10.00 10.00
go 144 160 607 30.00 30.00
cq 151 169 624 30.00 30.00
ba 579 628 866 15.00 15.00
oh 332 425 799 30.00 30.00
if 225 333 712 25.00 25.00
ql 176 269 610 10.00 10.00
kr 278 398 721 15.00 15.00
ek 295 378 781 30.00 30.00
xl 325 426 954 20.00 20.00
ml 334 498 897 20.00 20.00
en 362 521 1012 15.00 15.00
sj 496 634 1023 20.00 20.00
kd 475 674 976 15.00 15.00
fm 329 512 863 30.00 30.00
ia 356 524 963 25.00 25.00
gh 371 562 872 10.00 10.00
ke 311 412 896 15.00 15.00
tz 492 717 1231 30.00 30.00
pl 471 564 1013 20.00 20.00
an 435 572 964 20.00 20.00
ju 461 654 1036 15.00 15.00
es 491 725 1098 20.00 20.00
re 512 732 1127 15.00 15.00
dx 514 763 1134 30.00 30.00
xi 298 401 815 25.00 25.00
ze 319 450 827 10.00 10.00
fo 329 456 927 15.00 15.00
ow 421 673 1042 30.00 30.00
au 364 527 958 20.00 20.00
gs 382 577 916 20.00 20.00
hj 377 468 894 15.00 15.00
gn 211 345 828 20.00 20.00
;
param S:  hd yg si kk kx yl mo pv qz eg qm gb xh pf fk bk dv oa go cq ba oh if ql kr ek xl ml en sj kd fm ia gh ke tz pl an ju es re dx xi ze fo ow au gs hj gn :=
hd 99999 3 8 15 8 15 3 8 8 3 3 8 8 3 3 15 15 8 8 15 15 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
yg 3 99999 8 15 8 15 3 8 8 3 3 8 8 3 3 15 15 8 8 15 15 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
si 8 8 99999 15 8 15 3 8 8 3 3 8 8 3 3 15 15 8 8 15 15 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
kk 15 15 15 99999 8 15 3 8 8 3 3 8 8 3 3 15 15 8 8 15 15 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
kx 8 8 8 8 99999 15 3 8 8 3 3 8 8 3 3 15 15 8 8 15 15 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
yl 15 15 15 15 15 99999 3 8 8 3 3 8 8 3 3 15 15 8 8 15 15 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
mo 3 3 3 3 3 3 99999 8 8 3 3 8 8 3 3 15 15 8 8 15 15 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
pv 8 8 8 8 8 8 8 99999 8 3 3 8 8 3 3 15 15 8 8 15 15 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
qz 8 8 8 8 8 8 8 8 99999 3 3 8 8 3 3 15 15 8 8 15 15 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
eg 3 3 3 3 3 3 3 3 3 99999 3 8 8 3 3 15 15 8 8 15 15 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
qm 3 3 3 3 3 3 3 3 3 3 99999 8 8 3 3 15 15 8 8 15 15 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
gb 8 8 8 8 8 8 8 8 8 8 8 99999 8 3 3 15 15 8 8 15 15 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
xh 8 8 8 8 8 8 8 8 8 8 8 8 99999 3 3 15 15 8 8 15 15 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
pf 3 3 3 3 3 3 3 3 3 3 3 3 3 99999 3 15 15 8 8 15 15 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
fk 3 3 3 3 3 3 3 3 3 3 3 3 3 3 99999 15 15 8 8 15 15 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
bk 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 99999 15 8 8 15 15 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
dv 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 99999 8 8 15 15 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
oa 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 99999 8 15 15 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
go 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 99999 15 15 3 8 8 8 3 3 8 3 15 15 3 8 15 15 3 8 3 15 8 15 15 3 3 15 15 3 8 15 3
