data;

set PLANES := a b c d e f g h i j;

param: E T L g h :=
a 129 155 559 10.00 10.00 
b 195 258 744 10.00 10.00 
c 89 98 510 30.00 30.00 
d 96 106 521 30.00 30.00 
e 110 123 555 30.00 30.00 
f 120 135 576 30.00 30.00 
g 124 138 577 30.00 30.00 
h 126 140 573 30.00 30.00 
i 135 150 591 30.00 30.00 
j 160 180 657 30.00 30.00;

param S: a b c d e f g h i j := 
a 99999 3 15 15 15 15 15 15 15 15
b 3 99999 15 15 15 15 15 15 15 15 
c 15 15 99999 8 8 8 8 8 8 8 
d 15 15 8 99999 8 8 8 8 8 8 
e 15 15 8 8 99999 8 8 8 8 8 
f 15 15 8 8 8 99999 8 8 8 8 
g 15 15 8 8 8 8 99999 8 8 8 
h 15 15 8 8 8 8 8 99999 8 8 
i 15 15 8 8 8 8 8 8 99999 8 
j 15 15 8 8 8 8 8 8 8 99999;

end;
